,0
71,"
事務局の対応が最悪です。問い合わせしても返信が遅いし来ないで、やっと来てもお決まりの定型文のテンプレのみという。問い合わせ内容読んでないの丸わかり。新規登録しようと思ってる方は、断固勧めできませんね。終始イライラさせられるだけで、お金は貯まらずストレスだけがが貯まるだけの所です。事務局がの対応が無能過ぎて無理です。二度とやりません。
"
72,"
購入し、支払いについて不明事項あり質問しましたが、私の知りたいことではなく、説明のリンクはってきました。初心者で、近くにメルカリショップもない、電話もかけられない、質問には的確に答えてくれない、サポートは全く不親切。ここの評価に星一つが最低ですが、ゼロやマイナスつけたいくらいです。
"
73,"
頑張って値段交渉をして、専用画面もつくっていただいたのに無言で誰かに購入された。だがメルカリは専用にしても先に購入された人が優先と書いてあるが何も苦労もせず、画面も見ない購入者が守られるのはおかしいと思います。
"
74,"
明らかに人が減った。いいねすらろくにつかなくなってきた。
運営の対応も日増しにずさんになってきて良い所が無くなってきた。
近年は明らかにお金の流れが悪くなってきており、安価な物すら値下げしてもろくに買わない、買えない惨状になりつつある。金周りの良い層には見放され、貧乏人ばかりを優遇した結果がこれだ。
回転率が良いのが取り柄だったのに、もはやメルカリの寿命は尽き果てつつある。
"
75,"
何かトラブルがあって問い合わせしても返信も遅い上聞きたいことと違うことが返ってくることも多々あります。ガイド、ガイドって無法地帯なのによく言うわ…

手数料も高いしメルカリ便の送料も上がりましたができるだけトラブルを防ぎたいので補償があるメルカリ便を使ってるのですが、以前普通郵便の商品を購入した時に届かないということがありました。
出品者も発送予定を守らないなど適当な人でしたが郵便局に問い合わせはしてもらい、1ヶ月以上待って返事も来ないので運営にもういらないからキャンセルでいい、と言ったところダメだと言われ出品者に状況を確認するメッセージをしたと言われた直後出品者から連絡が来て見つからなかった、と言われました。

こちらに非はないのでもちろん返金はしてもらいましたが出品者にも補償すると言われはぁ！？普通郵便に補償なんであるの！？と腹が立って運営に『メルカリ便は補償があるから高いんでしょ？普通郵便は補償がないリスクをわかって使ってるんでしょ！？おかしいでしょ！』と送りましたが補償内容はお知らせできませんなどと意味がわからない返信が来ました。

長くなりましたがトータルで考えたら利用者が多いからそこそこ早く売れる、という以外良いところが見当たりません。
"
76,"
運営(問合せ)がクソすぎます。
今まで何回も運営側の間違えで削除・利用制限→問合せ→運営から謝罪メールが届いています。

違反を確認したとメールがくるのに問合せすると謝罪メール。AIの適当な判断で削除して簡単な謝罪で済まそうとするクソ運営です。
"
77,"
以前インパクトドライバーを購入しましたが、　　
直ぐに動かなくなりホームセンターで見てもらったのですがバッテリーが使えないとのことで
⁉️まだ数ヶ月しか使ってないのに何故でしょうか⁉️今は退会してます
"
78,"
何回も問い合わせしても定型文返信でやる気なし。
いつまでそんな対応で誤魔化せるか楽しみですね。
"
79,"
本を購入
購入してから一度も連絡なく
送られた商品はお粗末なもので
相手に悪い評価を付けたのですが
ある日見たら消されてました
メルカリに問い合わせたら
初めての方だけ
事情により悪い評価を非表示にする旨の連絡
前にこっちが評価非表示を提案したときは
かたくなに拒んでたのに
人によって簡単に非表示にできるんですね
で、こちらも迷惑したので
お粗末な本を返品したいというと
相手の同意がないとできないといわれた
これって出品者だけが優遇されて
被害にあった方のサポートはないようです
ここの口込サイト見てると
メルカリの運営人があほだってことがすごくわかる
都合よく介入したり
双方で話し合ってと突き放したり
ほんとサポートなんてない方がいいと
今回のことですごく思いました
"
80,"
購入後出品者が配送しない被害に会いました。
メルカリ処理は相手に注意のメ−ルするだけ。
今もその商品は閲覧出来、欲しい方がコメント入れてました。このいい加減な処理でまた第２の被害が出るわ。

返金するために顔の撮影を下横真正面と撮影させ犯人の写真撮影みたいでとても苦痛だった。免許証やマイナンバーカードの情報を提示しないと返金しないとの事。それも銀行口座番号を伝えた上に再三やらせる。案内も写真提示しない方はこちらからとあるが操作されてて選択も出来なかった。
個人情報は守りますとあるが人が管理してればいくらでも漏洩しやすいでしょう。
目的はアカウントを守るためにと書いてあったが危ないのは運営側だろうと思う。

また配送中破損した補償も上から目線で折り合いがつかないだろうと小額提示でまたカメラ撮影と個人情報提示を要求してくる。意味のない個人情報の吸い上げ、苦痛しかなく購入者ばかりの負担と不快極まりない。購入者のお金の何％がメルカリの運営資金になるのにこの処理は酷いね。
もうメルカリは使用しない。
"
81,"
支払方法が不明なので何回もお尋ねしているにもかかわず的外れな回答の繰り返し
なので今月末支払分をauかんたん決裁で支払いたいのですがどなたかご教示お願いいたします
"
82,"
運営が、いったいどんな人間がやっているのかと思うほど、悪質ユーザーの味方です。

一部の悪質な人間に絡まないよう、評価をよく読んで自己責任でやる必要があります。

運営は一切何もしません。
クレームもコピペを添付で知らん顔です。
相談に対しての理解度も無いし、本当に酷いと思います。
"
83,"
出品者のミスで違う商品を送ってしまい、まだ営業所にあるから
そこで1回止めていいかって聞かれたから、発送にも時間かかったし違う商品を送るしでめんどくさくなり、もうキャンセルでいいと返したら次の日に連絡があり、もう商品が到着してるから
送り返してほしいと言われ、宅急便の営業所に行ってる時間なんてないと返信したら今度は泥棒扱いされました。
まず自分のミスでこのようなことになり
謝罪の言葉もいっさいなく挙げ句の果てには泥棒扱い
コッチはちゃんと商品を購入してるのになんで泥棒扱いされないといけないんですか？
メルカリの運営も出品者側だし、最低な出品者だしで
何年も使ってたけどもう利用するのはやめようと思います。
"
84,"
買う時だけで　後のフォローないのかよ！
違う商品届いて　相談したいのに　全部　携帯からかよ！
相談センターぐらい　作れ！
直接　相談したいでしょ
最悪
"
85,"
メルカリ登録三年、1000を超す購入メインの使用者です。
新しいスマホで初ログインしたところ、これまで普通に出来た購入がいきなり出来なくなりました。
安全確認なんちゃらで、身分証明が必須となり、購入に進めません。
前に身分証明しようと色々奮戦したことがあるのですが、結局私の場合反映されない仕様で諦めたことがあり、さすがに他行くしかないかと脱力しています。
最近の更新でかなりページが重くなり、その他あちこち改悪やら不具合だらけで、正直使用者の皆さん、白けたり、ドタバタ慌てふためいておりますよ。
そもそも理不尽に使えなくなった人が多数おり、メルカリさん、完全に誰の目にも斜陽が見えて来ました。
"
86,"
新規登録もログインも出来ない！

電話番号でも登録出来ず！

パスワードも再登録しようとメールないし電話番号を送っても返信なし！

もう出禁なんですね！私は。
"
87,"
ネットで色々見てたら3の写真のようにwebで新規会員登録したら1000ポイントくれるって出てきて、前から気になってたからこれを機にやってみよう！と思って登録したものの。

登録時の招待コード入力欄に記載のキャンペーン番号を入力してもはじかれて進めず、ほかに番号や合言葉的なものも見当たらず。新規で登録したあとにポイントもらえるのかな？とそのまま登録に進みました。

ところがポイントが付与される形跡が全くなく、運営に問い合わせてみたところ1の写真の返答が。条件は全て満たしてるしな…？？？と思い、再度運営に連絡をしたところ、今度は2の写真の返答が。

webサイトでは招待コードの入力はできません？
は？じゃあなんで登録時にコード入力欄が出てくるんでしょうか？

webの新規登録のキャンペーンって出てきたのに、アプリからの会員登録を行っていただきますようお願いいたします？

え？
行ってることむちゃくちゃすぎないですか？
なんの解決にもなってないし。

1000ポイント〜web登録〜って謳い文句はウソだったんですか？
どのキャンペーンか特定する為？
え？1の写真にキャンペーン番号と不明な点を記載して連絡してこいって書いてたよね？だから聞いたよね？でもどのキャンペーンかわからないって？

こんな支離滅裂な返答初めてです。
結局、ポイントはもらえず、一度登録したからやり直すこともできず、モヤモヤが残っただけでした。
"
88,"
私は取引件数１０００を越えていますが最近メルカリの仕様変更で使いにくくなり商品説明のコピペ等が出来なくなったり、書いていた説明がイキナリ消えてしまう事も多く他に行こうと思っています。
"
89,"
メルカリ歴4年売り8割買い2割くらいで毎日活用させて頂いてますが、最近、出品者の未熟さが目につきます。
写真1〜2枚、ピンぼけ、アングルの悪さ、ろくな説明も無し。
規約もろくに見てないらしく、マイルール満載。
　口コミいろいろ拝見しましたが、自己中な口コミ多数です。
トラブルに合う方は、それなりに理由があります。
相手に分かりやすく、見やすくする努力をしない面倒くさがり、気が利かない方は要注意。
出品する時は発送方法、梱包まで確認してから初めて出品するのが普通です。それを怠るといざ発送と言う時トラブル発生します。
又不良品を隠して出す悪質な方もいます。
不慣れが原因のミスはある程度仕方ないにしても、何度もトラブルに合う方、「残念」評価を付けられる方はご自身にも問題ある場合多いです。
運営に文句を言う前に自分の常識見直しましょう。
"
90,"
3桁強の取引経験あり。

フリマサイトの中では一番顧客への対応が良いと感じている。

しかしながら、最近は赤字化や全体的な購買の頻度が低下しているためかサービスが劣化してきている気もする。

直近のトラブルは
メルカリへ他銀行から入金作業を行ったところ、なぜか2回入金される事象がおきた。

事務局へ連絡し、不具合の可能性を示唆したところ、振り込み時間が異なっているため事務局は関知しないとの返答を受けた。

不具合が存在しても放置している可能性も考えられ、かつ運営側は上記の場合対応しない方針のようなので、今後、他銀行からメルペイへの振り込みは行わないことにした。

また、同様の事象が起こりうることも予想されるため（クレカ払いで多く引き落としされ、メルペイで返金等）、
金銭のやりとりはより慎重に行うようにする。
"
91,"
トラブルがおこってメルカリに問い合わせしても対応なし
"
92,"
トラブルが発生するまでは便利だと思い使っていました。
出品側で、ほぼ購入はありません。


ある日、着払い商品を出品し、コメント無しで即購入されたのですが、
購入者の住所が倉庫で、名前がアルファベット表記されており、
調べるとC国の地名だったことに違和感を覚えました。
さらに調べると、C人の関係する法人のようでした。

購入メッセージには「発送したら伝票番号を教えてください」とありました。

C国人の会社が円安に乗じて、質の良い、日本製のものを購入し、
本国もしくは日本で転売しているのだと感じました。
手放すとはいえ、大切にしてきた楽器でしたので、
大切にたくさん使ってくれる、できれば日本人に売りたかったです。
C国人に手荒に扱われ、本国まで運ばれてオークションにかけられるかもと
考えると吐き気がして、キャンセルしたいとメルカリに相談しました。

----------------------------------
購入者の名前がアルファベット表記
　↓
C国の地名だった
　↓
①偽名を使用していると判断


住所を検索したら東葛西の倉庫街の一角
　↓
倉庫を貸している会社に電話
　↓
②法人にしか貸しておらず、２社くらいC国の会社もあるとのこと


アカウント登録の名称は、おそらく会社名。
メルカリでは許可していない法人アカウントだと思われます。
----------------------------------


メルカリ事務局の返答は、
キャンセルは出品者と購入者、双方の合意がないとできないから
購入者に直接メッセージを送って同意を取れ、とのこと。
相手が法人だと訴えても、過去の評価や購入履歴（出品ゼロ）を精査してくれと
お願いしても、「相手方の違反は発見できない」と言われました。
（いつもテンプレートで、参照リンクも貼ってありました）


この購入者は同じ楽器を、購入日同日に、他の出品者からも購入しようとしていました。
実際、購入に至ったのかもしれません。


どんな相手か不安なまま、購入者にキャンセル依頼のメッセージを送ったところ、
一晩のうちに下記のようなラリーになりました。

C人「どうしてキャンセルする？」
私「なぜ同じ品物を買うのか？」
中「私はコレクション愛好家です。発送してください」
私「日本語が変だ」
中「外国人です。china」
私「あなたの名前が分からない」
中「〇〇〇〇（日本人の女性の名前）」
私「アルファベットは何ですか？」
中「私の名前の中国語の表記です」
私「あなたは嘘をついています」
中「これ以上発送しないなら、事務局にクレーム言います！」
私「事務局は私をサポートすると言っている。キャンセルに同意してください」
中「同意しません！キャンセルしたいなら、あなたが勝手にしてください！」
私「わかりました」


メルカリのテンプレートの返信では、いつも
「取り引きにご不便とご不安をお掛けして申し訳ありません。できる限りサポートします」
みたいなことが書いてありましたが、
結局は、私の「自己都合」のキャンセルとされ、バンされたのは私だけみたいです。


メルカリの規約で最近、転売禁止の文言が消えたと知りました。
法人アカウントは規則で作成できず（メルカリSHOPを除く？）、
法人が購入したい場合は、個人名でアカウントを作成するように
メルカリ事務局が案内していることを知りました。


メルカリのスタンスを最初から知っていたら
その商品は出品しなかったと思います。
私の無知が引き起こしたできごとかもしれませんが、
テンプレートの対応でなく、必要なことを端的に知らせてくれたら
良かったのにと思います。
それに同一の事案でも、対応者が毎回変わっている気がします。
"
93,"
出品•落札ともに行なってますが、今年になってから末期的とも言える状況

特に出品に関しては論外レベル
色が違うと言われて写真もあり確認できるにも、関わらず迷惑行為扱い
さらに、24時間以内に承諾しろしなければ、利用停止などにする•長引くと貴方のためにもならないと運営にキャンセルを強要させられた。

出品禁止物の規約改正当日に以前からの出品を削除し、ペナルティを予告

出品•落札ともにですが、双方で事前に返品方法まで同意してるにも関わらず
同意して下さい→返送の有無を話し合ってください
実際の返金まで2日対応

さらに運営のミスで同意のない返金をし後日補償と言ったにも関わらず忘れてましたとの回答
実際の返金に2ヶ月半

運営の問題は出品•落札ともに目に余る程になってきた様に感じます。

年々使用者の増加に対応がいい加減になってしまっている様に感じます。
"
94,"
携帯電話でメルカリのアプリに偶然指があたり、アプリが開いてしまい、連続して指があたったことで、出品の商品が開き、購入、支払いしてしまったことがあります。
同様なことを購入者にされたこともあります。
ネットサイトで購入する場合、見ている画面をスクロールするなどして、画面をずらす、または画面の別の箇所をクリックしないと、購入できません。
しかし、メルカリの場合、アプリが開いてしまったとき、同じ部分に連続して指があたったると、購入→支払いになり、実際に購入してしまいます。
何回もメルカリに連絡しましたが、改善の余地なし。
アプリを何回も更新されていますが、指摘した部分については、全く改善されていませんでした。
間違えて購入して、取引をキャンセルした場合、利用停止されることもあります。
誤操作で仕方なく購入しても、儲かるのはメルカリです。
メルカリだけは、送料を値上げしています。他社のフリマサイトは値上げしていません。郵便のクリックポストは、値下げしています。
手数料は10%とるのに、送料も値上げ。
利用者のことは全く考えない企業です。
気をつけて！！
"
95,"
問い合わせの対応が遅すぎる。
ダラダラダラダラ何日もかけてやりとりするのなぜですか？
"
96,"
悪い出品者（商売）に引っかかって7800円損をしました。事務局の対応も悪くて泣き寝入りでした。もう退会しました。
"
97,"
アカウントの重複登録の修正について何度もやりとりを重ねています。正しい情報登録を終了したら連絡をしてください、その後利用制限を解除します、とのこと。
改めて情報登録をして利用制限解除を依頼したのですが、その際、重複登録されていた旧のアカウント上で購入依頼があり、発送してください、とのお知らせが来たためメルカリへ問い合わせしました。

その後、以下の案内が送られてきました。
当初の問い合わせより、案内される内容が次々変わる印象です。
複雑で理解しにくく、メルカリ使用はあきらめようかと感じざるを得ません。
難波で丁寧にface to faceで出品手順をお知らせいただき、できそう！と思いましたが、
メールでのトラブル解消の経緯がわかりにくすぎて別のサイトを探そうと思わざるを得ない残念な印象です。


【マイナンバー登録も終えて再登録したので利用制限解除を依頼したのに旧アカウントも利用制限が解除され、購入依頼があったことを問い合わせした後のメルカリからの回答】

なお、継続いただくアカウントはご登録状況を加味したうえで、事務局で判断させていただきました。何とぞご了承ください。

アカウントの退会手続きにあたり、お客さまにご対応いただきたい点があるため、以下《対応の流れ》に手順をまとめました。

また、一時的にお持ちの全てのアカウントを利用制限といたしましたが、お客さまからご連絡をいただき次第、今後ご利用いただくアカウントのみご利用いただけるよう手続きいたします。

《対応の流れ》
1.退会予定のアカウントにログインを行い、後述に記載の「ご対応いただきたい点」の内容に沿ってご対応をお願いします。
2.対応が完了次第、事務局へご連絡ください。
3.事務局で以下3点の対応後、お客さまへ連絡いたします。
・継続アカウント以外のアカウントの退会手続き
・継続アカウントを利用手続き
・退会予定アカウントに出品中商品がある場合は、退会手続き時に出品商品を削除
※再出品をご希望の場合は、継続するアカウントであらためてご出品をお願いいたします
※ご自身で退会手続きをされますと、スムーズな対応が困難となる可能性がございます。退会はせずにご連絡ください

《ご対応いただきたい点》
・取引中の商品について
取引中の商品がございますので、取引完了までご対応ください。
取引キャンセルにより購入ポイントでの返金があった場合には、一度事務局までご連絡ください。

・売上金について
売上は以下のガイドを参考に振込申請をおこなっていただき、口座へのお振込が完了したことをご確認ください。
https://www.mercari.com/jp/help_center/article/356/
※購入ポイントをお持ちの場合は、売上にお戻ししております
※振込無料チケットを付与しておりますので振込手数料は発生いたしません

振込が完了するまでに数日かかるため、下記の振込スケジュールをご参照ください。
https://www.mercari.com/jp/help_center/article/98/

対応いただくアカウントへは、以下手順をご確認のうえ、ご記載いただいたご希望のメールアドレスにてログインを行ってください。
※メールアドレス宛に認証メールが届いている場合は、認証メールに記載のURLをクリックし認証を完了させてください

《アプリのログイン方法》
1.メルカリアプリを起動する
2.アカウントをお持ちの方＞「ログイン」をタッチする
3.「メール・電話番号でログイン」を選択する
4.メールアドレスとパスワードを入力する
5.「ログイン」をタッチする

《Webサイトのログイン方法》
1.Webサイトのメルカリへアクセスする
2.「ログイン」を選択する
3.「メールアドレスでログイン」を選択する
4.メールアドレスとパスワードを入力する
※パスワードをお忘れの場合「パスワードをお忘れの方はこちら」を選択する
5.SMS(ショートメール)で送信された6桁の認証番号を入力し、「認証して完了する」を選択する
"
98,"
メルカリはよくわかりません！メルカリが仲介店　何が買い手に良い？匿名で送って買い手は匿名の住所解らんし、買う時は保存しないと全く解らなくなり…
初めての人は全くわかりません！不具合あって返品したいけど返品先がわからない！何度もメールしてもメルカリからの返信ほない！何回もして返信もないから諦めました。買ったものは捨てた。もう絶対メルカリは買わない！アマゾンが一番だね❗
"
99,"
初めて買った履歴が出てこない。保存しなくてはいけなかったのか？不具合でメールを何回もしたが返品先も解らず、差出人の名前も解らず諦めました。二度とメリカリつかいません。
もっと分かりやすく認証　認証としつこくせず、熟年者でも使いこなせるようにお願いしたいものです
"
100,"
ゆうゆうメルカリ便で発送した商品が、購入者と郵便局の不手際で返品されました。

その損失の補償を事務局に要求したら、完全に無視されました。
ルールを無視した購入者と郵便局はノーペナルティーで、ルールを守った私だけが損をするシステムです。
そのことを事務局に指摘しても、改善する意志は全く感じられません。
ここのサポートの回答は、無責任で内容が無いものばかりで、まるで出来の悪いAIを相手にしているようでした。

今後は出品はせず、掘り出し物が見つかった時だけの購入用として利用します。
"
101,"
メルカリに売ったら速攻で削除された。某オークションサイトでは出品出来たので残念です。問い合わせ先も電話番号とか載せた方がいいと思う。クレーム対応嫌なら録音にすれば良い。
"
102,"
商品を出品者から購入する際は動画撮影をおすすめします。
出品者から届いたら開けて中身を確認するまでを録画で撮影。
トラブルにならないように。経験者です。大変で嫌な思いをした。
中身が空っぽ。新品未開封という触れ込みだった。しかし開けた形跡と戻す際の手違いを発見。相手は頑として譲らず。嘘つきということになった。
中身の見えない物は注意が必要。嫌な思いがいつまでも消えない。
お金は戻るけどこの出来事は記憶に残る。
"
103,"
当事者間だけでは解決しないトラブルは付き物。とある購入者「購入した商品が何か思っていたんと違うから今すぐに返金してくれ」←即応じたらとある購入者は「購入時点でケースが割れていたのにこの金額は詐欺だろ」←出品時にキズの1つも付いていない事は確認済みだと言ったらとある購入者は「そんなもんは後付けだろ。嘘ならなんぼでも言えるぞ」「そっちは詐欺しといて言いばかり訳するなよ」…など話すと長くなるので省略。話は無限ループが続いて今も尚解決しないまま。どんなに新品に近い状態で出品しても購入者から難癖付けられた時点で終わり。そんで基本的に言い合いになる。こっちが引いてもダメ。一方的にボロクソ言われる。相手はもう止まらない。どんどん言葉がエスカレートする。解決出来ないなら利用するな！何て無理な話。こっちがしなくとも他の人がするかもしれない。もうしているからも知れない。ウン百万人以上の利用者が居るからトラブルは避けられない。一部の出品者で写真一枚だけしか載せない人や詳細を書かない人やキズが付いててもキズ無しで出品しているから一部の購入者を含めて両者共にトラブルの引き金となっている事は変わり様のない事実。そのせいでアプリへの不信感が募る。もしも警察沙汰になればそ運営側も他人事じゃ済まされなくなるからそれを想定した上で独自ルールでもいいから作って欲しいな。流石に経営上自己解決しろは良くない。
"
104,"
商品を出品しましたが突然の削除。その後利用制限。他の人と同じ写真を載せているのに、削除される人と削除されない人がいて謎。運営側からそれに対する説明は無し。
最悪の会社で、もう絶対に利用しない。
"
105,"
出品メインです。
発送後のキャンセルや、キャンセルのキャンセルなど、面倒な購入者に当たるとやる気なくす。
高額商品は メルカリに出品するのやめました。
高額梱包材、保証されませんしね。
今度からはリサイクル梱包材利用。
梱包材に金かけない。無駄だから。
"
106,"
購入したら、キャッシュバックの案内がきました。それならと購入しましたが、クーポンが使用済みになってなく、クーポンのお知らせには、どうやって使用すりかの記入がなく、運営に問い合わせしたら、購入時にクーポンを選択しないと、キャッシュバックされない書かれてました。もう購入済みで発送されているので、できないと言われました。購入前にクーポンをタップしたりしましたが、何もならなかったので、そのまま、いつものように購入しましたが、クーポンを選ぶのを気づきませんでした。お知らせに、使い方の記入がなく、問い合わせをしたら、やり方を説明するなんて、とても不親切です。
"
107,"
当方は３年ぐらい200件の取引していました。

今回はビンテージの服を出品していました。
とうとう今回購入者と埒があかず、事務局に問い合わせしたところ、
日本語が読めいないぐらいこちらの説明を無視して定型文連発で最悪でした。

購入者都合の理不尽の返品なのに、着払いで返品をするか？ビンテージの正規品証明を出すか？選択しろと！？
（ビンテージの正規品証明できるか？！まじで常識ない！）
じゃないと、売上金を没取した上で、商品も戻ってこないぞと！？
まさか！？と目を疑いました、３年利用して初めてを問い合わせたら、いきなり脅かされました。
マジで想像を絶する最悪さでした。

もう退会をします。
手数料は高いのに、いざとなるとこのアフター対応、星マイナス100ぐらいですね。
もう一生利用しません。

メルカリの利用はリスク大で、いずれかとんでも無く後悔する。
皆さんもお気をつけください。次はあなたかもしれません。
"
108,"
女性用スーツを送った際、メルカリの梱包材を使用して最低料金のサイズに梱包し、コンビニでも確認して送ったのに、送料として600円メルカリに取られた。これば搾取ではないでしょうか。
アイテム別に送料が設定されているのであれぼ、出品の際に一覧で提示するべき。
"
109,"
衣服などの衣料品を出品していてもサイズが書かれておらずコメントで質問しても答えない出品者が多いけど売る気があるのだろうか？
サイズが分からない衣服を買う人などいない事にきづいていない残念な出品者が多いことに驚く。
"
110,"
利用者のマナー自体は他のフリマアプリより好印象なのですが、運営の対応が全般的に高圧的、上から目線な上に不公平に感じる部分多し。

・同じものを同じルールに従って出品しても、禁止物として削除されるケースと削除されないケースがある（しかもその商品は他の出品者からは普通に売られている）
→購買者からのタレコミメインで動いているためか、一度目をつけられるとことごとく注意や削除が来る。

・他のアプリよりも発送料が高い。

・商品発送から到着までの日数猶予が短いため、普通郵便で遠方に発送すると必ずと言っていいほど「発送業者に調査をお願いします」と促進メールが来る。

・売り上げを現金化するにはどうやっても手数料を取られる。

・キャンペーンやクーポンの類が非常に少ない。

・個人の出品者が多いのが魅力だったのに、メルカリShopを始めてからは業者の出品物が横行、優遇されるようになった。

・取引トラブルが起きても基本的には当事者間で解決のスタンスが他のアプリと比べて一番強い。また対応が遅い。

　女性の利用者が多いのは魅力でしたが、これらの改悪や高圧的な対応が鼻につくことが多くなったので他のプリマアプリに乗り換えます。
"
111,"
最初は出品すればすぐ削除され、表現の仕方が悪いと気付き再出品して、そこそこ売れていました。評価が500超えたくらいで、急に出品停止、出品は全削除。
意味が分からず問い合わせても違反の可能性がある様な内容のみでした。
違反は無いので運営に問い合わせましたが、同じ事の繰り返しでアホらしく退会しました。
リピーターの方が多く残念でなりませんでしたが、メルカリのあまりに一方的な対応には腹が立ち二度と関わりたくありませんでした。
他のフリマアプリ利用していますが、こんな酷い扱いされないので、メルカリ退会して良かったです！
"
112,"
良識がある人同士の取引は何も問題ないです。が、トラブルがあった時の運営の対応があまりにも酷い。悪評を消すことが出来るシステムのせいで、多くの人がも同じ人に被害を受けている現状が全く伝わっていません。またガイドラインは設けているようですが、結局ひと品ひと品はチェックしてないようですね。同人誌なんかは本の出品者が転売禁止と書いていてもここに出品出来てしまうせいで無法地帯になってます。
全てロボットが動かしてるのかな？と思うくらい、運営が存在してるように感じません。他にもフリマアプリはありますから、私は今後使うのをやめようと思います。
"
113,"
現在、500件程の取引をさせていただいていますが、
メルカリ運営側は自分第一に考えているようで…

トラブルに巻き込まれ困っていて、メルカリに問い合わせたところ、初めは対応良かったのですが、購入から2週間、商品が届かず出品者からも連絡がなく、取引が進まないため再度2度ほどメルカリとやり取りしたのですがものすごく対応悪い文章が届き驚きました…。

内容は控えますが、運営としてはいかがなものか…と呆れてしまいました。

手数料が高いのですが、対応はイマイチだと思いました。
手数料と対応が釣り合わないと思いました。

気持ちの良い取引ができるのが一番なのですが…。
他のフリマアプリにお世話になろうと思います。
"
114,"
メルカリ教室に参加しました。
講師の男性は、言葉遣いこそ丁寧でしたが、終始高圧的。
一番初めに、全く無駄な自己紹介をさせられました。
声が小さい！やり直し！等と、参加者さん達を馬鹿にした態度が、聞いていて不愉快でした。その後、参加者同士でのやり取りは一切無かった事を考えると、自己紹介には全く意味が無かったように思えました。
また、「日本語で書いてあるので、自分で読んでください、それとも僕が読み上げましょうか？」等ど、人への敬意が感じられませんでした。
メルカリのサービス自体は良いと思いましたが、こういった方が教室の講師であることが大変残念に思います。講師の方への教育レベルを改善してもらえると、人にも勧められますが、現状では、絶対に知り合いには勧めません。
"
115,"
お客様は神様だと思っている購入者が多いです。購入者の判定が厳しすぎです。中古品、汚れ&傷ありと記載していても届いてから傷、汚れがあり残念な品物でしたと悪い評価。説明文を読んでない、値段だけで安いと思い即買いするので届いてから思ってたのと違うじゃん。と文句。梱包の仕方が悪いだの、ストレスが溜まる・
"
116,"
ワンピースレッド公開記念でモバイル9000階を行っていたので博多のメルカリステーションに行った。
QR コード読み取りをしたところカメラの設定ができてないということでアプリの設定でカメラを設定しても読み取れなかった。
結局、抽選会に参加できない上にわざわざ行ったのに参加賞すらもらえなかった。
役に立たない QR コード何十分もそこにいて、電車乗り過ごしてしまった。
スマホに対応してないQR コードとか使うな🤬
"
117,"
返品したくても悪質出品者に着払いをしなければならず、着払いは差出人の住所を書かなくては使えません。悪質出品者に住所がわかってしまいます。
これがメルカリの規約なので従わなければ、サポートすら切られてしまいます。
メルカリは使わない方が正解です。
"
118,"
受け取り評価を事務所が完了する場合、お互い評価つかずは納得いきません。
悪い方が悪い評価をもらうべきです。
見た目の評価しかわからず、トラブルのもとになりますよね。
そこを改善してほしいです
"
119,"
メルカリですでに出品されている物と同じもの、衛生用品を出品したらすぐに削除された。なぜ、他の物は削除されないのに、私のものだけ削除されるのでしょうか？
メルカリはこのような事が、多数あります。
別のものを出品したときも、削除されました。
出品しない方がいいです。
"
120,"
ネコポス規格内でサイズの余裕をもって発送したのにサイズ60の送料で計上があり、運営とヤ○トに問い合わせましたがサイズオーバーですとの一点張り。

幅もしっかり計測し、梱包してから時間を置いて膨らみがない事も確認したのにありえない。
どれだけ意義を申し立ててもどちらも定型文の返答のみ。
挙句運営に問い合わせてください、ヤ○トに相談しろとたらい回し。
結局サイズ60の送料で精算され売上無し。
自分たちの不備を認めず、全く話にならない。

会社同士で癒着してる？のか知りませんがこの様なやり口で売上を増やしているのはよくないと思います。

運営も配送会社もまったく信用できません。
しっかり規格内で発送してもこの様な事が起きるので利用はオススメしません。
"
121,"
購入商品か発送日数を過ぎたのでキャンセル申請したら却下され、その理由が、『商品所在がはっきりしません、購入が所有している、同意が無い』でした。
まだ発送していないのに購入者が所有、同意は必要無いはずが同意を求めてくる。
状況無視、運営者としてまったく誠意が無い無茶苦茶な理由てす。
もう利用しない。
"
122,"
いわゆる圏外飛ばし？のような状態になっていました。久しぶりに１つだけ出品したのに閲覧数がまったく増えなくてなんでだろ？と思って一晩たってから検索したら表示されずなにが良くなかったのかもわからず

なんだかもやもやしたので出品自体をやめました。色々な観点からの対策は必要ですが普通の出品者が普通に出品できないというのはどうかなと思います。
"
123,"
問題が起きた時の対応が、マニュアルに沿うだけ、AI任せで、中の人はそういう人材しかいないのではないでしょうか。
対応のレベルが低く、遅いです。
安全のため、といいながら、実際に購入したひとが困っていても、助けてもらえませんでした。誰のために安全ルールを作っているのでしょう。そのルールが間違っている時、せめて、対応の""人""がその間違いを補足して、アプリを使う消費者を守らなくては行けないのではないでしょうか。
"
124,"
事務局の問合せがまったく機能していません。

何日も待ってまともに返信があればいいのですが、問合せの内容と微妙にズレた答えが返ってきます。こちらが聞きたいことは聞かれたくないのかその質問に関しては無視です。

少し事務局の都合の悪い突っ込んだ問合せをすると無期限停止や強制退会の言葉を出して脅してきます。

初期の頃から利用していますが最近の事務局はとても残念な対応が続いていて退会も考えるぐらい酷いです。
"
